,math,reading,year_teaching,regular class,small class,is_girl,free lunch,black,white
2,0.5,0.4230769230769231,0.25925925925925924,0,1,1,0,0,1
3,0.7058823529411765,0.4326923076923077,0.7777777777777778,0,1,1,0,1,0
5,0.4673202614379085,0.3974358974358974,0.0,0,0,0,1,1,0
11,0.7810457516339869,0.42628205128205127,0.5925925925925926,1,0,0,0,0,1
12,0.5522875816993464,0.4230769230769231,0.18518518518518517,0,1,0,1,0,1
13,0.43790849673202614,0.3717948717948718,0.2962962962962963,1,0,0,1,0,1
14,0.3366013071895425,0.2564102564102564,0.6296296296296297,0,0,1,1,1,0
21,0.5882352941176471,0.4358974358974359,0.1111111111111111,1,0,1,0,0,1
23,0.3888888888888889,0.5224358974358975,0.4074074074074074,0,1,1,0,1,0
25,0.6797385620915033,0.44871794871794873,0.37037037037037035,0,1,1,0,0,1
28,0.5,0.3685897435897436,0.48148148148148145,1,0,0,0,0,1
29,0.48366013071895425,0.391025641025641,0.2222222222222222,0,0,0,0,0,1
32,0.7810457516339869,0.5096153846153846,0.0,0,1,0,0,0,1
33,0.5686274509803921,0.34935897435897434,0.2222222222222222,0,1,0,0,0,1
34,0.6797385620915033,0.5608974358974359,0.6666666666666666,0,0,0,0,0,1
35,0.5359477124183006,0.3974358974358974,0.48148148148148145,1,0,0,0,0,1
36,0.4542483660130719,0.34935897435897434,0.4444444444444444,0,0,1,1,0,1
37,0.6797385620915033,0.391025641025641,0.037037037037037035,1,0,1,1,1,0
39,0.5163398692810458,0.34294871794871795,0.2962962962962963,0,1,1,0,0,1
40,0.7810457516339869,0.34935897435897434,0.48148148148148145,1,0,0,1,0,1
44,0.43790849673202614,0.3717948717948718,0.48148148148148145,1,0,0,0,0,1
47,0.5,0.4358974358974359,0.1111111111111111,0,0,0,0,0,1
48,0.9215686274509803,0.4519230769230769,0.5185185185185185,0,1,0,1,0,1
51,0.4542483660130719,0.33974358974358976,0.4074074074074074,0,0,1,1,1,0
52,0.8366013071895425,0.47435897435897434,0.37037037037037035,0,0,0,1,1,0
53,0.6535947712418301,0.3525641025641026,0.2962962962962963,0,0,1,0,1,0
54,0.7810457516339869,0.6634615384615384,0.2962962962962963,1,0,1,0,0,1
55,0.4542483660130719,0.3141025641025641,0.18518518518518517,0,0,1,0,0,1
56,0.630718954248366,0.32371794871794873,0.48148148148148145,1,0,0,0,0,1
60,0.3366013071895425,0.3333333333333333,0.0,1,0,1,1,1,0
61,0.5686274509803921,0.3717948717948718,0.1111111111111111,0,0,1,0,0,1
65,0.3888888888888889,0.3301282051282051,0.2962962962962963,0,1,0,0,0,1
66,0.37254901960784315,0.34294871794871795,0.5555555555555556,1,0,1,1,1,0
68,0.37254901960784315,0.3173076923076923,0.2962962962962963,0,1,1,1,1,0
71,0.43790849673202614,0.3782051282051282,0.4074074074074074,0,0,0,1,1,0
76,0.5359477124183006,0.4326923076923077,0.37037037037037035,1,0,1,0,0,1
77,0.7810457516339869,0.4583333333333333,0.14814814814814814,0,1,1,1,0,1
78,0.4542483660130719,0.4166666666666667,0.25925925925925924,0,1,1,0,0,1
80,0.6078431372549019,0.3974358974358974,0.6296296296296297,0,1,0,0,0,1
81,0.8366013071895425,0.5160256410256411,0.4444444444444444,0,1,0,0,0,1
84,0.5359477124183006,0.48717948717948717,0.14814814814814814,1,0,1,0,0,1
87,0.37254901960784315,0.32371794871794873,0.37037037037037035,0,0,1,1,1,0
88,0.6797385620915033,0.5288461538461539,0.0,0,1,0,0,0,1
91,0.5163398692810458,0.391025641025641,0.5925925925925926,0,0,1,0,0,1
93,0.9215686274509803,0.4807692307692308,0.6666666666666666,0,1,0,0,0,1
97,0.3888888888888889,0.2948717948717949,0.14814814814814814,0,1,1,1,0,1
98,0.7418300653594772,0.5512820512820513,0.4444444444444444,1,0,1,0,1,0
99,0.5522875816993464,0.3525641025641026,0.2962962962962963,0,0,0,0,0,1
100,0.5882352941176471,0.4230769230769231,0.5185185185185185,0,1,1,0,0,1
102,0.48366013071895425,0.3685897435897436,0.48148148148148145,0,1,1,0,0,1
108,0.7418300653594772,0.5288461538461539,0.5185185185185185,0,1,1,0,0,1
113,0.630718954248366,0.40064102564102566,0.18518518518518517,1,0,1,0,0,1
117,0.2777777777777778,0.30448717948717946,0.48148148148148145,0,0,0,0,1,0
119,0.6078431372549019,0.3141025641025641,0.18518518518518517,0,1,1,0,0,1
120,0.630718954248366,0.34294871794871795,0.037037037037037035,1,0,1,1,1,0
121,0.7810457516339869,0.40705128205128205,0.18518518518518517,0,1,1,0,1,0
125,0.7418300653594772,0.46794871794871795,0.37037037037037035,0,0,1,1,1,0
126,0.43790849673202614,0.33974358974358976,0.8148148148148148,0,0,0,1,1,0
133,0.5686274509803921,0.30448717948717946,0.07407407407407407,0,1,1,1,1,0
137,1.0,0.4807692307692308,0.07407407407407407,0,1,1,0,1,0
143,0.5882352941176471,0.38782051282051283,0.4074074074074074,1,0,0,0,0,1
146,0.4215686274509804,0.266025641025641,0.18518518518518517,0,0,0,1,0,1
147,0.6797385620915033,0.40705128205128205,0.2962962962962963,0,0,1,0,0,1
149,0.5882352941176471,0.46794871794871795,0.4074074074074074,0,0,0,0,0,1
151,0.6078431372549019,0.38782051282051283,0.48148148148148145,1,0,0,1,0,1
155,0.5,0.36217948717948717,0.18518518518518517,0,1,0,0,0,1
158,0.40522875816993464,0.3076923076923077,0.0,1,0,0,1,1,0
159,0.4542483660130719,0.38782051282051283,0.18518518518518517,0,0,0,0,0,1
163,0.4673202614379085,0.38782051282051283,0.14814814814814814,0,1,1,0,0,1
164,0.7810457516339869,0.36217948717948717,0.4444444444444444,0,0,0,0,0,1
165,0.7058823529411765,0.5032051282051282,0.18518518518518517,1,0,0,0,0,1
166,0.5,0.3814102564102564,0.4074074074074074,0,0,0,1,1,0
167,0.5882352941176471,0.41025641025641024,0.2962962962962963,0,1,0,0,0,1
168,0.6535947712418301,0.34935897435897434,0.07407407407407407,0,1,0,1,0,1
169,0.5,0.3301282051282051,0.8148148148148148,0,0,0,1,1,0
170,0.5882352941176471,0.36217948717948717,0.4074074074074074,1,0,0,1,1,0
172,0.48366013071895425,0.40064102564102566,0.5185185185185185,0,1,0,1,1,0
173,0.630718954248366,0.38782051282051283,0.25925925925925924,0,0,0,0,0,1
174,0.6078431372549019,0.3782051282051282,0.48148148148148145,0,1,0,0,1,0
175,0.5,0.42628205128205127,0.2962962962962963,0,0,0,0,0,1
176,0.6078431372549019,0.5096153846153846,0.1111111111111111,0,1,0,1,1,0
178,0.5359477124183006,0.3173076923076923,0.5555555555555556,1,0,0,1,1,0
183,0.48366013071895425,0.3076923076923077,0.7407407407407407,0,1,1,0,0,1
184,0.48366013071895425,0.34294871794871795,0.4074074074074074,0,1,1,0,1,0
185,0.3006535947712418,0.2564102564102564,0.7407407407407407,0,1,1,0,0,1
188,0.4542483660130719,0.2948717948717949,0.2222222222222222,1,0,1,1,1,0
190,0.6078431372549019,0.5032051282051282,0.4074074074074074,1,0,1,0,0,1
191,0.4673202614379085,0.27884615384615385,0.4444444444444444,0,1,1,1,0,1
192,0.5882352941176471,0.36217948717948717,0.2222222222222222,1,0,1,0,0,1
193,0.4673202614379085,0.3141025641025641,0.4444444444444444,1,0,0,0,0,1
197,0.48366013071895425,0.41025641025641024,0.6666666666666666,1,0,0,1,0,1
198,0.37254901960784315,0.3301282051282051,0.5185185185185185,0,0,0,1,0,1
199,0.3202614379084967,0.28205128205128205,0.07407407407407407,0,1,0,1,0,1
200,0.5359477124183006,0.40705128205128205,0.4074074074074074,0,1,1,1,0,1
201,0.6797385620915033,0.41025641025641024,0.037037037037037035,0,1,1,1,1,0
204,0.5686274509803921,0.30448717948717946,0.6296296296296297,0,0,0,0,1,0
206,0.3888888888888889,0.28205128205128205,0.0,0,0,1,1,1,0
207,0.5522875816993464,0.3782051282051282,0.6296296296296297,0,1,0,1,0,1
210,0.6797385620915033,0.34294871794871795,0.0,1,0,0,0,0,1
212,0.7058823529411765,0.3814102564102564,1.0,0,0,0,0,0,1
217,0.48366013071895425,0.3782051282051282,0.48148148148148145,0,1,1,1,1,0
218,0.7810457516339869,0.40064102564102566,0.6296296296296297,0,1,1,0,0,1
220,0.7810457516339869,0.46794871794871795,0.7407407407407407,1,0,0,0,0,1
225,0.4542483660130719,0.3141025641025641,0.6296296296296297,0,0,1,0,0,1
228,0.7810457516339869,0.4166666666666667,0.14814814814814814,0,1,0,1,0,1
229,0.7058823529411765,0.6153846153846154,0.1111111111111111,0,0,0,0,0,1
230,0.8366013071895425,0.5608974358974359,0.5555555555555556,0,1,1,0,0,1
232,0.7058823529411765,0.4358974358974359,0.2222222222222222,1,0,1,0,0,1
233,0.7058823529411765,0.5096153846153846,0.37037037037037035,1,0,1,0,0,1
234,0.3562091503267974,0.3173076923076923,0.8148148148148148,0,0,0,1,1,0
237,0.3366013071895425,0.2724358974358974,0.14814814814814814,0,1,0,0,0,1
238,0.5522875816993464,0.49038461538461536,0.5925925925925926,1,0,1,0,0,1
239,0.2581699346405229,0.22756410256410256,0.2962962962962963,1,0,0,0,0,1
240,0.5163398692810458,0.34935897435897434,0.2222222222222222,1,0,0,1,1,0
241,0.5,0.3685897435897436,0.2962962962962963,0,0,1,1,0,1
244,0.6535947712418301,0.4423076923076923,0.5555555555555556,1,0,1,1,0,1
245,0.6797385620915033,0.4519230769230769,0.37037037037037035,1,0,0,0,1,0
248,0.8366013071895425,0.4358974358974359,0.5555555555555556,0,1,0,0,0,1
250,0.5359477124183006,0.40064102564102566,0.2962962962962963,0,1,1,0,0,1
253,0.4542483660130719,0.4166666666666667,0.37037037037037035,0,1,1,1,0,1
254,0.48366013071895425,0.4166666666666667,0.5185185185185185,0,0,1,0,0,1
256,0.48366013071895425,0.27884615384615385,0.3333333333333333,0,0,1,1,0,1
258,0.5359477124183006,0.3173076923076923,0.4444444444444444,0,0,1,0,0,1
259,0.5163398692810458,0.33974358974358976,0.1111111111111111,1,0,1,0,0,1
